0,Orig Order,Concept Name,Canonical Name,Rank,Section,Status,Link,Further Info
1,,,,,,,,
9991,99900,,,0,Z,,,
9992,99900,Introduction To C#,,0,Z,,,
9993,99900,,,0,Z,,,
10000,11,- [Classes][classes],classes,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/classes/.meta/design.md,
10100,16, [Inheritance][inheritance],inheritance,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/inheritance/.meta/design.md,
10200,20, basics (including methods),basics,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/basics/.meta/design.md,
10300,21,  - Constructors,constructors,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/constructors/.meta/design.md,
10400,28,  - Method overloading,method-overloading,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/method-overloading/.meta/design.md,
10500,35,- Properties,properties,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/properties/.meta/design.md,
10600,102,- Null,null,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/nullability/.meta/design.md,
10700,107,- Numbers,numbers,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/numbers/.meta/design.md,
10800,138,- [Booleans][bool],booleans,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/booleans/.meta/design.md,
10900,139,- [Characters][char],chars,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/chars/.meta/design.md,
11000,141,  - [Arrays][array],arrays,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/arrays/.meta/design.md,
11100,143,  - [Dictionaries][map],dictionaries,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/dictionaries/.meta/design.md,
11200,151,- Dates,dates,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/datetimes/.meta/design.md,
11300,155,- Enums,enums,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/enums/.meta/design.md,
11400,162,  - Floating point numbers,floating-point-numbers,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/floating-point-numbers/.meta/design.md,
11500,167,- [Strings][string],strings,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/strings/.meta/design.md,
11600,156,- Flag Enums,flag-enums,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/flag-enums/.meta/design.md,
11610,59,- User Defined Exceptions,user-defined-exceptions,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/user-defined-exceptions/.meta/design.md,
11610,101,- User Defined Exceptions,user-defined-exceptions,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/user-defined-exceptions/.meta/design.md,
11611,80,  - [Equality][equality] (`Equals`; `GetHashCode`),equality,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/equality/.meta/design.md,
11612,170,- [Tuples][tuple],tuples,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/tuples/.meta/design.md,
11613,111,- Randomness,randomness,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/randomness/.meta/design.md,
11614,24,  - Method arguments / parameters,parameters,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/parameters/.meta/design.md,
11615,88,  - Conditionals: switch,conditionals-switch,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/switch-statements/.meta/design.md,
11616,33,  - Object initializers,object-initializers,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/object-initializers/.meta/design.md,
11617,115,  - Resource cleanup (`IDisposable`),resource-cleanup,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/resource-cleanup/.meta/design.md,
11618,169,- Time,time,5,A,E,https://github.com/exercism/v3/blob/master/languages/csharp/exercises/concept/time/.meta/design.md,
11700,17,- [Interfaces][interfaces],interfaces,10,A,I,https://github.com/exercism/v3/issues/1225,
12100,163,  - Signed integers,signed-integers,10,A,I,https://github.com/exercism/v3/issues/780,
12200,92,- Constants/readonly,constants,10,A,I,https://github.com/exercism/v3/issues/1044,
12600,91,  - [Conditionals: ternary][conditionals],conditionals-ternary,14,A,I,https://github.com/exercism/v3/issues/1635,
12800,100,- Exceptions,exceptions,15,A,I,https://github.com/exercism/v3/issues/966,
12900,146,  - [Lists][list],lists,15,A,I,https://github.com/exercism/v3/issues/958,
13200,38,- Structs,structs,20,A,I,https://github.com/exercism/v3/issues/1017,
13300,44,- Expression-bodied members,expression-bodied-members,20,A,I,https://github.com/exercism/v3/issues/1145,
13500,122,  - Namespaces,namespaces,20,A,I,https://github.com/exercism/v3/issues/1127,
13600,126,- String formatting,string-formatting,20,A,I,https://github.com/exercism/v3/issues/962,
14000,113,- Regular Expressions,regular-expressions,24,A,I,https://github.com/exercism/v3/issues/1638,
14200,116,  - Resource lifetime,resource-lifetime,28,A,I,https://github.com/exercism/v3/issues/1640,
14500,108,  - Arithmetic overflow,overflow,30,A,I,https://github.com/exercism/v3/issues/1138,
14600,160,- Nested types,nested-types,30,A,I,https://github.com/exercism/v3/issues/1643,
14611,95,  - Explicit (casts),casting,30,A,I,https://github.com/exercism/v3/issues/1142,
14650,29,- operator overloading,operator-overload,20,A,I,https://github.com/exercism/v3/issues/1712,
14990,99900,,,0,Z,,,
14991,99900,Introduction To C# (Duplicates & Non-exercises),,0,Z,,,
14992,99900,,,0,Z,,,
15000,12,- [Composition][composition],,700,A,,,background
15100,45,- Expressions vs statements,,700,A,,,background
15200,56,- [Pattern matching][pattern_matching],,700,A,,,background
15300,13,- [Encapsulation][encapsulation],encapsulation,800,A,D,,classes
15400,14,- Fields,fields,800,A,D,,classes
15500,18,  - Explicit Interface Implementation,explicit-interfaces,800,A,D,,interfaces
15600,25,    - Named arguments,named-arguments,800,A,D,,parameters
15700,26,    - Out parameters,out-parameters,800,A,D,,parameters
15800,27,    - [Optional arguments][optional_arguments],optional-arguments,800,A,D,,parameters
15900,30,  - Return values,return-values,800,A,D,,basics
15910,174,Base Class Library,base-class-library,800,A,D,,dictionaries
16000,31,- [Mutation][mutation],mutation,800,A,D,,basics
16100,32,- [Objects][objects],objects,800,A,D,,classes
16200,34,- [Polymorphism][polymorphism],polymorphism,800,A,D,,inheritance
16300,36,- [State][state],state,800,A,D,,classes
16400,46,- [Functions][functions],functions,800,A,D,,basics
16500,61,- [Type inference][type_inference],type-inference,800,A,D,,basics
16600,67,- Collections,collections,800,A,D,,lists
16700,78,- Comments,comments,800,A,D,,basics
16800,85,- Conditionals,conditionals,800,A,D,,numbers
16900,86,  - Boolean logic,booleans,800,A,D,,booleans
17000,89,  - Conditionals: while,conditionals-while,800,A,D,,floating-point-numbers
17100,96,  - Implicit,implicit-casting,800,A,D,,casting
17200,103,  - Null-coalescing operator,null-coalescing,800,A,D,,null
17300,104,  - Null-conditional operator,null-conditional,800,A,D,,null
17400,105,  - Null-forgiving operator,null-forgiving,800,A,D,,null
17500,106,  - Nullable values,nullable-values,800,A,D,,null
17600,109,  - Bitwise manipulation,bitwise-manipulation,800,A,D,,flag-ennums
17700,110,  - Math operators,math-operators,800,A,D,,numbers
